rank,token,occurrences,dominant_bm,dominant_count,outlier_bm,outlier_count,recommended_primary_bm,allowed_alternates_bm,flags,score,sample_keys,sample_english,policy_note
1720,مِنۡهُ,45,daripadanya,33,daripada-Nya,3,daripadanya,,outside_policy,58.33,8:17:15 | 11:63:11 | 11:88:11,from Him | from Him | from Himself,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
1721,إِلَىٰ,211,kepada,157,kepada/dengan,1,kepada,,outside_policy | slash_gloss | annotative_expansion,58.32,2:187:6,to,Gunakan gloss dominan Quranic sebagai default. Override hanya bila struktur sintaks jelas memaksa makna lain.
1722,إِلَىٰ,211,kepada,157,kepada/terhadap,1,kepada,,outside_policy | slash_gloss | annotative_expansion,58.32,17:4:2,for,Gunakan gloss dominan Quranic sebagai default. Override hanya bila struktur sintaks jelas memaksa makna lain.
1723,إِلَىٰ,211,kepada,157,sampai/kepada,1,kepada,,outside_policy | slash_gloss | annotative_expansion,58.32,9:77:5,until,Gunakan gloss dominan Quranic sebagai default. Override hanya bila struktur sintaks jelas memaksa makna lain.
1724,عَلَىٰٓ,81,atas,65,untuk,4,atas,,outside_policy,58.32,17:88:6 | 17:99:10 | 23:95:2 | 31:15:3,to | [on] | on | on,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
1725,لَهُمُ,43,bagi mereka,20,untuk mereka,3,bagi mereka,,outside_policy | entity_or_pronoun_shift,58.29,4:64:18 | 9:111:9 | 24:62:34,for them | for them | for them,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
1726,لِّمَا,21,terhadap apa,10,terhadap apa (kitab),1,terhadap apa,,outside_policy | parenthetical | long_gloss | annotative_expansion,58.29,3:3:6,that which,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
1727,فَإِذَا,76,maka apabila,45,maka jika,2,maka apabila,,outside_policy,58.26,5:23:12 | 7:34:4,then when | So when,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
1728,عَنِ,70,dari,51,tentang,3,dari,,outside_policy,58.19,2:189:2 | 7:187:2 | 8:1:2,about | about | about,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
1729,تَرَ,31,kamu memperhatikan,10,kamu mengetahui,2,kamu memperhatikan,,outside_policy | entity_or_pronoun_shift,58.18,24:41:2 | 24:43:2,you see | you see,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
1730,أَجۡمَعِينَ,23,semuanya,17,semuanya/bersama-sama,1,semuanya,,outside_policy | slash_gloss | annotative_expansion,58.17,32:13:16,together,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
1731,ءَايَٰتِهِۦ,17,ayat-ayat-Nya,10,ayat-ayatnya,2,ayat-ayat-Nya,,outside_policy,58.15,30:24:2 | 38:29:6,His Signs | (over) its Verses,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
1732,ٱلۡعَٰلَمِينَ,61,semesta alam,45,semesta alam itu,1,semesta alam,,outside_policy | long_gloss | annotative_expansion,58.13,26:23:5,(of) the worlds,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
1733,ٱلۡعَٰلَمِينَ,61,semesta alam,45,umat/semesta alam,1,semesta alam,,outside_policy | slash_gloss | annotative_expansion,58.13,6:86:8,the worlds,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
1734,كَانُواْ,209,adalah mereka,150,mereka adalah,43,adalah mereka,,outside_policy | entity_or_pronoun_shift,58.11,2:59:17 | 2:61:47 | 3:156:15 | 3:156:18 | 3:164:20,they were | used to | they were | they had been | they were,Gunakan gloss dominan Quranic sebagai default. Override hanya bila struktur sintaks jelas memaksa makna lain.
1735,وَإِنۡ,19,dan jika,14,dan jika/tidak,1,dan jika,,outside_policy | slash_gloss | annotative_expansion,58.11,21:111:1,And not,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
1736,وَإِنۡ,19,dan jika,14,dan jika/tidaklah,1,dan jika,,outside_policy | slash_gloss | annotative_expansion,58.11,10:66:22,and not,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
1737,مِنكُمۡ,50,di antara kamu,31,dari/di antara kamu,2,di antara kamu,,outside_policy | slash_gloss | long_gloss | entity_or_pronoun_shift | annotative_expansion,58.10,3:155:4 | 4:25:4,among you | among you,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
1738,أَعۡلَمُ,55,lebih mengetahui,46,aku mengetahui,5,lebih mengetahui,,outside_policy,58.09,5:116:37 | 6:50:9 | 7:188:14 | 11:31:8 | 12:96:15,I know | (that) I know | know | I know | [I] know,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
1739,مِنَ,412,dari,303,dari/di,1,dari,,outside_policy | slash_gloss | annotative_expansion,58.06,39:74:10,[from],Gunakan gloss dominan Quranic sebagai default. Override hanya bila struktur sintaks jelas memaksa makna lain.
1740,مِنَ,412,dari,303,dari/kepada,1,dari,,outside_policy | slash_gloss | annotative_expansion,58.06,2:212:7,[of],Gunakan gloss dominan Quranic sebagai default. Override hanya bila struktur sintaks jelas memaksa makna lain.
1741,مِنَ,412,dari,303,dari/kerana,1,dari,,outside_policy | slash_gloss | annotative_expansion,58.06,12:84:9,from,Gunakan gloss dominan Quranic sebagai default. Override hanya bila struktur sintaks jelas memaksa makna lain.
1742,مِنَ,412,dari,303,dari/pada,1,dari,,outside_policy | slash_gloss | annotative_expansion,58.06,9:109:6,from,Gunakan gloss dominan Quranic sebagai default. Override hanya bila struktur sintaks jelas memaksa makna lain.
1743,مِنَ,412,dari,303,dari/terhadap,1,dari,,outside_policy | slash_gloss | annotative_expansion,58.06,60:13:12,of,Gunakan gloss dominan Quranic sebagai default. Override hanya bila struktur sintaks jelas memaksa makna lain.
1744,مِنَ,412,dari,303,termasuk/dari,1,dari,,outside_policy | slash_gloss | annotative_expansion,58.06,46:15:44,of,Gunakan gloss dominan Quranic sebagai default. Override hanya bila struktur sintaks jelas memaksa makna lain.
1745,إِن,253,jika,211,bahawa,5,jika,,outside_policy,58.02,4:104:6 | 9:50:1 | 10:29:6 | 33:13:22 | 56:90:2,If | If | that | Not | if,Gunakan gloss dominan Quranic sebagai default. Override hanya bila struktur sintaks jelas memaksa makna lain.
1746,إِن,253,jika,211,tidak lain,5,jika,,outside_policy,58.02,21:36:5 | 25:8:13 | 38:14:1 | 53:23:14 | 53:28:6,not | Not | Not | Not | Not,Gunakan gloss dominan Quranic sebagai default. Override hanya bila struktur sintaks jelas memaksa makna lain.
1747,أَشَدُّ,18,lebih/sangat,3,amat sangat,1,lebih/sangat,sangat,outside_policy,58.00,2:165:14,(are) stronger,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
1748,أَشَدُّ,18,lebih/sangat,3,lebih besar,1,lebih/sangat,sangat,outside_policy,58.00,2:191:9,(is) worse,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
1749,أَشَدُّ,18,lebih/sangat,3,lebih keras,1,lebih/sangat,sangat,outside_policy,58.00,20:71:24,(is) more severe,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
1750,أَشَدُّ,18,lebih/sangat,3,lebih sangat,1,lebih/sangat,sangat,outside_policy,58.00,50:36:7,(were) stronger,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
1751,بِهِۦۚ,15,dengannya,11,dengan-Nya/Dia,1,dengannya,,outside_policy | slash_gloss | annotative_expansion,58.00,22:31:5,with Him,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
1752,بِهِۦۚ,15,dengannya,11,dengannya/kepadanya,1,dengannya,,outside_policy | slash_gloss | annotative_expansion,58.00,10:40:9,in it,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
1753,جَآءَهُم,15,datang kepada mereka,7,dia datang kepada mereka,1,datang kepada mereka,,outside_policy | long_gloss | entity_or_pronoun_shift | annotative_expansion,58.00,40:25:2,he brought to them,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
1754,مِنۡهُ,45,daripadanya,33,daripada-Nya/dengan Dia,1,daripadanya,,outside_policy | slash_gloss | annotative_expansion,58.00,78:37:9,from Him,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
1755,مِنۡهُ,45,daripadanya,33,daripadanya (ayat),1,daripadanya,,outside_policy | parenthetical | annotative_expansion,58.00,10:61:7,of it,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
1756,مِنۡهُ,45,daripadanya,33,daripadanya/malam itu,1,daripadanya,,outside_policy | slash_gloss | annotative_expansion,58.00,36:37:5,from it,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
1757,وَمَا,507,dan tidak,231,dan apa yang ada,3,dan apa,dan apa yang | dan tidak | dan tidak ada | dan tidaklah,outside_policy | long_gloss,58.00,46:3:5 | 49:16:10 | 50:38:5,and what | and what | and whatever,Pisahkan antara sambungan `dan apa` dan bentuk nafi `dan tidak` mengikut binaan.
1758,ٱلنَّارِۖ,15,neraka,11,api/neraka,1,neraka,,outside_policy | slash_gloss | annotative_expansion,58.00,13:5:22,(of) the Fire,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
1759,إِلَى,140,kepada,101,ke dalam,3,kepada,ke | sampai,outside_policy,57.98,13:14:15 | 18:10:4 | 18:16:8,towards | to | to,Defaultkan kepada `kepada`.
1760,مَآ,117,apa,68,tidaklah,2,apa,apa yang | tidak,outside_policy,57.94,36:15:2 | 37:162:1,Not | Not,"Defaultkan kepada makna leksikal yang stabil, bukan perluasan frasa."
1761,جَعَلۡنَا,28,Kami jadikan,13,Kami jadikan/adakan,1,Kami jadikan,,outside_policy | slash_gloss | entity_or_pronoun_shift | annotative_expansion,57.93,17:45:4,We place,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
1762,ٱلۡجَنَّةِ,19,syurga,15,sorga,4,syurga,,outside_policy,57.93,13:35:2 | 36:55:3 | 39:73:6 | 39:74:11,of Paradise | (of) Paradise | Paradise | (in) Paradise,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
1763,مِمَّا,51,dari apa,16,dari/sebagian apa,2,dari apa,,outside_policy | slash_gloss,57.91,4:39:9 | 14:31:8,from what | from what,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
1764,عَنِ,70,dari,51,dari/kepada,1,dari,,outside_policy | slash_gloss | annotative_expansion,57.86,9:96:12,with,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
1765,عَنِ,70,dari,51,dari/pada,1,dari,,outside_policy | slash_gloss | annotative_expansion,57.86,2:217:2,about,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
1766,عَنِ,70,dari,51,dari/tetang,1,dari,,outside_policy | slash_gloss | annotative_expansion,57.86,102:8:4,about,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
1767,مَن,223,orang,69,siapa/apa-apa,2,siapa,barang siapa | orang | orang yang,outside_policy | slash_gloss,57.78,39:68:5 | 39:68:12,whoever | whom,Pilih `siapa` untuk fungsi soal/syarat; `orang/ orang yang` untuk fungsi relatif.
1768,ٱلۡكِتَٰبِ,74,Kitab,34,kitab (Al Qur'an),1,Kitab,Al Kitab | kitab,outside_policy | parenthetical | long_gloss | annotative_expansion,57.78,32:2:2,(of) the Book,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
1769,يَعۡلَمُونَ,80,mereka mengetahui,66,mengetahui,5,mereka mengetahui,,outside_policy,57.75,6:37:19 | 7:182:8 | 9:6:18 | 30:6:11 | 40:57:12,know | they know | (who) do not know | know | know,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
1770,يَعۡقِلُونَ,21,mereka berakal,4,mereka berakal (memikirkan),1,mereka berakal,mereka memahami,outside_policy | parenthetical | long_gloss | entity_or_pronoun_shift | annotative_expansion,57.71,2:164:43,who use their intellect,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
1771,إِنَّ,596,sesungguhnya,590,sesungguhnya ia,1,sesungguhnya,,outside_policy | annotative_expansion,57.70,56:95:1,Indeed,Gunakan gloss dominan Quranic sebagai default. Override hanya bila struktur sintaks jelas memaksa makna lain.
1772,وَلَمۡ,47,dan tidak,34,dan tidak ada,1,dan tidak,,outside_policy | long_gloss | annotative_expansion,57.70,74:44:1,And not,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
1773,وَلَمۡ,47,dan tidak,34,dan tidak/bukan,1,dan tidak,,outside_policy | slash_gloss | annotative_expansion,57.70,19:20:9,and not,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
1774,كُلَّ,49,setiap,15,tiap-tiap/segala,2,setiap,segala | tiap-tiap,outside_policy | slash_gloss,57.68,21:30:14 | 72:28:11,every | (of) all,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
1775,بَيۡنَهُمَا,18,di antara keduanya,13,yang di antara keduanya,1,di antara keduanya,,outside_policy | long_gloss | annotative_expansion,57.67,38:66:5,(is) between them,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
1776,إِلَى,140,kepada,101,atas/kepada,1,kepada,ke | sampai,outside_policy | slash_gloss | annotative_expansion,57.64,57:9:11,into,Defaultkan kepada `kepada`.
1777,إِلَى,140,kepada,101,kepada (sebelum),1,kepada,ke | sampai,outside_policy | parenthetical | annotative_expansion,57.64,2:196:39,followed,Defaultkan kepada `kepada`.
1778,إِلَى,140,kepada,101,kepada/ke,1,kepada,ke | sampai,outside_policy | slash_gloss | annotative_expansion,57.64,28:24:5,to,Defaultkan kepada `kepada`.
1779,إِلَى,140,kepada,101,kepada/ke dalam,1,kepada,ke | sampai,outside_policy | slash_gloss | annotative_expansion,57.64,2:195:8,into,Defaultkan kepada `kepada`.
1780,حَتَّىٰ,95,sehingga,78,hingga,5,sehingga,,outside_policy,57.63,4:65:5 | 47:31:2 | 60:4:29 | 97:5:3 | 102:2:1,until | until | until | until | Until,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
1781,إِنِّيٓ,50,sesungguhnya aku,41,sesungguhnya Aku,5,sesungguhnya aku,,outside_policy,57.60,2:30:24 | 2:33:12 | 11:46:18 | 20:12:1 | 28:30:15,"Indeed, I | Indeed, I | Indeed, I | Indeed, [I] | Indeed",Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
1782,أَصۡحَٰبُ,41,penghuni,29,penduduk,3,penghuni,,outside_policy,57.55,15:78:3 | 15:80:3 | 26:176:2,(the) companions | (the) companions | (the) companions,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
1783,عَلَيۡكَ,50,atasmu,22,atas kamu,3,atasmu,atasmu/kepadamu | kepadamu,outside_policy | entity_or_pronoun_shift,57.53,45:6:5 | 48:2:12 | 49:17:2,to you | upon you | to you,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
1784,كُلُّ,46,tiap-tiap,26,semua,2,tiap-tiap,,outside_policy,57.46,14:15:3 | 43:35:3,every | all,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
1785,ٱلۡعَذَابَ,23,azab,13,seksa,2,azab,,outside_policy,57.46,2:165:23 | 2:166:9,the punishment | the punishment,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
1786,هَلۡ,63,apakah,45,apakah/tidaklah,1,apakah,,outside_policy | slash_gloss | annotative_expansion,57.43,6:47:10,will,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
1787,مِنكُمۡ,50,di antara kamu,31,dari kamu,9,di antara kamu,,outside_policy | entity_or_pronoun_shift,57.38,8:70:19 | 9:53:8 | 11:38:17 | 26:21:2 | 33:10:7,from you | from you | you | from you | you,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
1788,أُنزِلَ,47,diturunkan,46,yang diturunkan,1,diturunkan,,outside_policy | annotative_expansion,57.36,39:55:4,is revealed,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
1789,وَعَمِلُواْ,53,dan mereka beramal,23,dan mengerjakan/beramal,3,dan mereka beramal,dan beramal | dan mereka berbuat/beramal,outside_policy | slash_gloss,57.35,18:30:4 | 19:96:4 | 35:7:8,and did | and did | and do,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
1790,مِن,728,dari,711,dari yang,1,dari,,outside_policy | annotative_expansion,57.30,52:8:3,any,Gunakan gloss dominan Quranic sebagai default. Override hanya bila struktur sintaks jelas memaksa makna lain.
1791,أَفَلَا,44,apakah maka tidak,19,maka mengapa tidak,3,apakah maka tidak,apakah tidak | maka apakah tidak,outside_policy | long_gloss,57.29,5:74:1 | 7:65:14 | 36:35:7,So will not | Then will not | So will not,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
1792,مِّن,372,dari,363,dari suatu,1,dari,,outside_policy | annotative_expansion,57.27,42:30:3,of,Gunakan gloss dominan Quranic sebagai default. Override hanya bila struktur sintaks jelas memaksa makna lain.
1793,أَصۡحَٰبُ,41,penghuni,29,penghuni (mempunyai),1,penghuni,,outside_policy | parenthetical | annotative_expansion,57.22,20:135:7,(are the) companions,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
1794,عَلَيۡهَا,34,atasnya,24,atasnya (zakat),1,atasnya,,outside_policy | parenthetical | annotative_expansion,57.18,9:60:6,them,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
1795,عَلَيۡهَا,34,atasnya,24,atasnya(neraka),1,atasnya,,outside_policy | parenthetical | annotative_expansion,57.18,42:45:3,to it,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
1796,عَلَيۡهَا,34,atasnya,24,atasnya/kepadanya,1,atasnya,,outside_policy | slash_gloss | annotative_expansion,57.18,25:73:8,upon them,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
1797,ءَايَٰتِ,21,ayat-ayat,16,tanda-tanda,4,ayat-ayat,,outside_policy,57.11,18:17:21 | 36:46:6 | 40:81:4 | 53:18:4,(the) Signs | (the) Signs | (of the) Signs | (the) Signs,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
1798,فَسَوۡفَ,26,maka kelak,18,maka nanti,3,maka kelak,,outside_policy,57.10,9:28:17 | 84:8:1 | 84:11:1,then soon | Then soon | Then soon,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
1799,إِلَّآ,100,kecuali,69,selain,3,kecuali,,outside_policy,57.03,5:73:12 | 9:32:9 | 12:25:18,except | except | except,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
1800,بَيۡنَكُمۡ,15,di antara kamu,8,antara kamu,5,di antara kamu,,outside_policy | entity_or_pronoun_shift,57.00,4:73:10 | 4:90:6 | 6:94:24 | 8:72:39 | 18:95:10,between you | between you | between you | between you | between you,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
1801,فِيهَا,183,di dalamnya,128,di dalamnya/disana,1,di dalamnya,ke dalamnya | padanya,outside_policy | slash_gloss | annotative_expansion,56.98,12:82:5,[in it],Kekalkan gloss lokatif sebagai default.
1802,عَلَيۡهِ,131,atasnya,90,atas-Nya,3,atasnya,atasnya/kepadanya,outside_policy,56.94,3:5:5 | 23:88:11 | 42:10:12,from Him | against Him | upon Him,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
1803,عَلَيۡهِ,131,atasnya,90,kepada-Nya,3,atasnya,atasnya/kepadanya,outside_policy,56.94,11:88:32 | 12:67:23 | 13:30:25,Upon Him | upon Him | Upon Him,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
1804,بِمَا,253,dengan apa,71,dengan/bagi apa,2,dengan apa,dengan sebab | dengan/terhadap apa | disebabkan | terhadap apa,outside_policy | slash_gloss,56.92,5:38:6 | 9:82:6,for what | for what,Pilih makna instrumental `dengan apa` sebagai default; sebab/kausal hanya bila konteks jelas.
1805,بِمَا,253,dengan apa,71,dengan/disebabkan apa,2,dengan apa,dengan sebab | dengan/terhadap apa | disebabkan | terhadap apa,outside_policy | slash_gloss,56.92,5:64:9 | 6:127:8,for what | because,Pilih makna instrumental `dengan apa` sebagai default; sebab/kausal hanya bila konteks jelas.
1806,لَمۡ,89,tidak,62,belum/tidak,1,tidak,,outside_policy | slash_gloss | annotative_expansion,56.90,6:91:33,not,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
1807,نَحۡنُ,55,kami,30,kita,2,kami,,outside_policy,56.86,6:29:8 | 27:33:2,we | We,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
1808,إِذَا,170,apabila,128,jika,4,apabila,,outside_policy,56.84,4:6:4 | 6:31:8 | 9:38:6 | 18:24:7,[when] | when | when | when,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
1809,وَلَا,604,dan tidak,329,dan bukan,2,dan tidak,dan jangan | dan janganlah | dan tidak ada,outside_policy,56.84,3:67:5 | 4:25:32,and not | and not,Gunakan bentuk larangan hanya apabila fi'il selepasnya jelas larangan.
1810,أَلَمۡ,72,tidakkah,20,apakah tidak/belum,2,tidakkah,apakah tidak | bukankah | tidaklah,outside_policy | slash_gloss,56.83,14:9:1 | 64:5:1,Has not | Has not,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
1811,أَلَمۡ,72,tidakkah,20,tidaklah/bukanlah,2,tidakkah,apakah tidak | bukankah | tidaklah,outside_policy | slash_gloss,56.83,77:16:1 | 78:6:1,Did not | Have not,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
1812,أَن,461,bahawa,315,telah,3,bahawa,agar | supaya | untuk,outside_policy,56.83,9:110:10 | 12:94:11 | 12:96:2,that | that | [that],Gunakan `bahawa` sebagai lalai. Bentuk infinitif/tujuan sahaja patut menggeser kepada `untuk/supaya/agar`.
1813,ٱلَّيۡلَ,25,malam,24,malam hari,1,malam,,outside_policy | annotative_expansion,56.80,73:2:2,(in) the night,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
1814,يَـٰٓأَيُّهَا,134,wahai,120,hai,13,wahai,,outside_policy,56.79,10:23:10 | 12:88:5 | 15:6:2 | 27:16:5 | 27:18:9,O mankind | O Aziz | O you | O | O,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
1815,أَنَا۠,44,aku,33,saya,4,aku,,outside_policy,56.75,2:258:21 | 7:12:9 | 27:39:5 | 27:40:7,I | I am | I | I,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
1816,وَمَآ,131,dan tidak,36,dan Kami,2,dan apa,dan apa yang | dan tidak | dan tidaklah,outside_policy | entity_or_pronoun_shift,56.74,21:25:1 | 25:20:1,And not | And not,Defaultkan kepada token-faithful gloss; jangan serap makna frasa jiran.
1817,إِلَّآ,100,kecuali,69,kecuali/lantaran,1,kecuali,,outside_policy | slash_gloss | annotative_expansion,56.70,5:59:7,except,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
1818,لِلَّذِينَ,50,bagi orang-orang yang,27,kepada orang-orang,2,bagi orang-orang yang,,outside_policy,56.70,47:26:4 | 57:13:5,to those who | to those who,Kekalkan gloss relatif yang stabil; jangan tambah rujukan entiti pada token ini.
1819,لِلَّذِينَ,50,bagi orang-orang yang,27,orang-orang yang,2,bagi orang-orang yang,,outside_policy,56.70,34:42:10 | 57:16:3,to those | for those who,Kekalkan gloss relatif yang stabil; jangan tambah rujukan entiti pada token ini.
1820,وَلَوۡلَا,17,dan kalau tidak,7,dan sekiranya tidak,3,dan kalau tidak,,outside_policy | long_gloss,56.69,4:113:1 | 20:129:1 | 22:40:12,And if not | And if not | And if not,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
1821,ٱلۡمَلَـٰٓئِكَةُ,20,Malaikat,11,malaikat,6,Malaikat,,outside_policy | entity_or_pronoun_shift,56.67,21:103:6 | 25:21:9 | 25:25:6 | 41:30:10 | 43:53:10,the Angels | the Angels | the Angels | the Angels | the Angels,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
1822,عَٰقِبَةُ,26,akibat/kesudahan,14,kesudahan,2,akibat/kesudahan,,outside_policy,56.65,28:37:13 | 31:22:14,the good end in the Hereafter | (is the) end,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
1823,أَوَّلَ,16,pertama,11,pertama/mula-mula,1,pertama,,outside_policy | slash_gloss | annotative_expansion,56.62,20:65:9,the first,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
1824,عَلَيۡهِ,131,atasnya,90,atas-Nya/terhadap-Nya,1,atasnya,atasnya/kepadanya,outside_policy | slash_gloss | annotative_expansion,56.61,37:162:3,from Him,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
1825,عَلَيۡهِ,131,atasnya,90,atasnya (Ibrahim),1,atasnya,atasnya/kepadanya,outside_policy | parenthetical | annotative_expansion,56.61,37:108:2,for him,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
1826,عَلَيۡهِ,131,atasnya,90,atasnya (Rasul),1,atasnya,atasnya/kepadanya,outside_policy | parenthetical | annotative_expansion,56.61,24:54:9,upon him,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
1827,عَلَيۡهِ,131,atasnya,90,atasnya (Sulaiman),1,atasnya,atasnya/kepadanya,outside_policy | parenthetical | annotative_expansion,56.61,34:14:3,for him,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
1828,عَلَيۡهِ,131,atasnya,90,atasnya (melakukannya),1,atasnya,atasnya/kepadanya,outside_policy | parenthetical | annotative_expansion,56.61,20:73:9,on it,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
1829,عَلَيۡهِ,131,atasnya,90,atasnya/baginya,1,atasnya,atasnya/kepadanya,outside_policy | slash_gloss | annotative_expansion,56.61,2:203:12,upon him,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
