category,severity,key,token,current_bm,suggested_bm,english,note
interpretive_connector,medium,13:14:19,وَمَا,dan/padahal tidaklah,review against token-faithful gloss,but not,"`padahal` is readable BM prose, but it is often too interpretive for WBW and may import discourse meaning from the wider phrase."
interpretive_connector,medium,13:26:10,وَمَا,dan/padahal,review against token-faithful gloss,and nothing,"`padahal` is readable BM prose, but it is often too interpretive for WBW and may import discourse meaning from the wider phrase."
interpretive_connector,medium,13:30:15,وَهُمۡ,dan/padahal mereka,review against token-faithful gloss,while they,"`padahal` is readable BM prose, but it is often too interpretive for WBW and may import discourse meaning from the wider phrase."
interpretive_connector,medium,13:6:5,وَقَدۡ,dan/padahal sungguh,review against token-faithful gloss,and verily,"`padahal` is readable BM prose, but it is often too interpretive for WBW and may import discourse meaning from the wider phrase."
interpretive_connector,medium,14:12:7,وَقَدۡ,dan/padahal sesungguhnya,review against token-faithful gloss,while certainly,"`padahal` is readable BM prose, but it is often too interpretive for WBW and may import discourse meaning from the wider phrase."
interpretive_connector,medium,20:125:6,وَقَدۡ,dan/padahal sesungguhnya,review against token-faithful gloss,while [verily],"`padahal` is readable BM prose, but it is often too interpretive for WBW and may import discourse meaning from the wider phrase."
interpretive_connector,medium,22:2:16,وَمَا,dan/padahal,review against token-faithful gloss,while not,"`padahal` is readable BM prose, but it is often too interpretive for WBW and may import discourse meaning from the wider phrase."
interpretive_connector,medium,27:84:7,وَلَمۡ,dan/padahal kamu tidak,review against token-faithful gloss,while not,"`padahal` is readable BM prose, but it is often too interpretive for WBW and may import discourse meaning from the wider phrase."
interpretive_connector,medium,27:88:5,وَهِيَ,dan/padahal dia,review against token-faithful gloss,while they,"`padahal` is readable BM prose, but it is often too interpretive for WBW and may import discourse meaning from the wider phrase."
interpretive_connector,medium,2:204:15,وَهُوَ,dan/padahal ia,review against token-faithful gloss,and he,"`padahal` is readable BM prose, but it is often too interpretive for WBW and may import discourse meaning from the wider phrase."
interpretive_connector,medium,2:214:6,وَلَمَّا,padahal belum,review against token-faithful gloss,while not,"`padahal` is readable BM prose, but it is often too interpretive for WBW and may import discourse meaning from the wider phrase."
interpretive_connector,medium,2:216:11,وَهُوَ,dan/padahal ia,review against token-faithful gloss,and it,"`padahal` is readable BM prose, but it is often too interpretive for WBW and may import discourse meaning from the wider phrase."
interpretive_connector,medium,2:267:19,وَلَسۡتُم,padahal kamu tidak,review against token-faithful gloss,while you (would) not,"`padahal` is readable BM prose, but it is often too interpretive for WBW and may import discourse meaning from the wider phrase."
interpretive_connector,medium,33:13:20,هِيَ,padahal ia,review against token-faithful gloss,they,"`padahal` is readable BM prose, but it is often too interpretive for WBW and may import discourse meaning from the wider phrase."
interpretive_connector,medium,36:78:10,وَهِيَ,padahal ia,review against token-faithful gloss,while they,"`padahal` is readable BM prose, but it is often too interpretive for WBW and may import discourse meaning from the wider phrase."
interpretive_connector,medium,37:96:1,وَٱللَّهُ,dan/padahal Allah,review against token-faithful gloss,While Allah,"`padahal` is readable BM prose, but it is often too interpretive for WBW and may import discourse meaning from the wider phrase."
interpretive_connector,medium,3:165:4,قَدۡ,sungguh/padahal,review against token-faithful gloss,surely,"`padahal` is readable BM prose, but it is often too interpretive for WBW and may import discourse meaning from the wider phrase."
interpretive_connector,medium,40:42:11,وَأَنَا۠,dan/padahal aku,review against token-faithful gloss,and I,"`padahal` is readable BM prose, but it is often too interpretive for WBW and may import discourse meaning from the wider phrase."
interpretive_connector,medium,4:19:30,وَيَجۡعَلَ,dan/padahal menjadikan,review against token-faithful gloss,and has placed,"`padahal` is readable BM prose, but it is often too interpretive for WBW and may import discourse meaning from the wider phrase."
interpretive_connector,medium,5:41:14,وَلَمۡ,dan/padahal belum,review against token-faithful gloss,and not,"`padahal` is readable BM prose, but it is often too interpretive for WBW and may import discourse meaning from the wider phrase."
interpretive_connector,medium,6:100:5,وَخَلَقَهُمۡۖ,dan/padahal Dia menciptakan mereka,review against token-faithful gloss,though He has created them,"`padahal` is readable BM prose, but it is often too interpretive for WBW and may import discourse meaning from the wider phrase."
interpretive_connector,medium,6:119:10,وَقَدۡ,dan/padahal sungguh,review against token-faithful gloss,when indeed,"`padahal` is readable BM prose, but it is often too interpretive for WBW and may import discourse meaning from the wider phrase."
interpretive_connector,medium,6:164:6,وَهُوَ,dan/padahal Dia,review against token-faithful gloss,while He,"`padahal` is readable BM prose, but it is often too interpretive for WBW and may import discourse meaning from the wider phrase."
interpretive_connector,medium,6:66:4,وَهُوَ,dan/padahal ia/azab,review against token-faithful gloss,while it,"`padahal` is readable BM prose, but it is often too interpretive for WBW and may import discourse meaning from the wider phrase."
interpretive_connector,medium,6:93:12,وَلَمۡ,dan/padahal tidak,review against token-faithful gloss,while not,"`padahal` is readable BM prose, but it is often too interpretive for WBW and may import discourse meaning from the wider phrase."
interpretive_connector,medium,8:34:6,وَهُمۡ,dan/padahal mereka,review against token-faithful gloss,while they,"`padahal` is readable BM prose, but it is often too interpretive for WBW and may import discourse meaning from the wider phrase."
interpretive_connector,medium,9:118:10,بِمَا,dengan apa/padahal,review against token-faithful gloss,though,"`padahal` is readable BM prose, but it is often too interpretive for WBW and may import discourse meaning from the wider phrase."
interpretive_connector,medium,9:13:14,فَٱللَّهُ,maka/padahal Allah,review against token-faithful gloss,But Allah,"`padahal` is readable BM prose, but it is often too interpretive for WBW and may import discourse meaning from the wider phrase."
interpretive_connector,medium,9:74:5,وَلَقَدۡ,dan/padahal sesungguhnya,review against token-faithful gloss,while certainly,"`padahal` is readable BM prose, but it is often too interpretive for WBW and may import discourse meaning from the wider phrase."
interpretive_connector,medium,9:93:6,وَهُمۡ,dan/padahal mereka,review against token-faithful gloss,while they,"`padahal` is readable BM prose, but it is often too interpretive for WBW and may import discourse meaning from the wider phrase."
